,ID,AdPrice,Info,District,Metro,Adress,Rooms,Floor,TotalFloor,KitchenArea,LivingArea,TotalArea,Center,Hospital,Kindergarten,School,OfferType,Rate,Walls,WaterHeatType,Price,LocNum,StreetUA,Street
0,15084640.0,плата згідно з лічильниками і за опалення,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, Панаса Мирного вулиця, буд. 28а",Печерський,," Панаса Мирного вулиця, буд. 28а",2.0,22.0,26.0,18.0,50.0,100.0,False,False,False,False,від посередника,,цегла,True,43909,2572.2, Панаса Мирного вулиця,Panasa Myrnoho St
1,15022181.0,плата згідно з лічильниками і за опалення,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Печерський, ст.м. Палац ""Україна"", Анрі Барбюса вулиця, буд. 37/1",Печерський,"Палац ""Україна"""," Анрі Барбюса вулиця, буд. 37/1",3.0,5.0,24.0,25.0,90.0,130.0,True,True,True,True,від представника господаря (без комісійних),,цегла,True,53824,2459.8, Анрі Барбюса вулиця,Vasylia Tiutiunnyka St
2,15167987.0,,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Святошинський, Ирпенская ул., 69 quotАquot",Святошинський,," Ирпенская ул., 69 quotАquot",1.0,20.0,24.0,25.0,17.0,63.0,False,False,False,False,від посередника,,панель,False,18000,7105.800000000001, Ирпенская ул.,Irpinska St
3,14122352.0,плата згідно з лічильниками і за опалення,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, ст.м. Арсенальна, Аїстова вулиця, буд. 5",Печерський,Арсенальна," Аїстова вулиця, буд. 5",2.0,7.0,10.0,18.0,55.0,73.0,True,False,True,True,від власника,,цегла,False,30000,1962.0, Аїстова вулиця,Ipsylantiivskyi Ln
4,15115386.0,плата згідно з лічильниками,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Оболонський, ст.м. Мінська, Петра Калнишевського вулиця, буд. 14",Оболонський,Мінська," Петра Калнишевського вулиця, буд. 14",1.0,20.0,27.0,11.4,17.4,44.0,True,True,True,True,від посередника,,монолитно-кирпичный,True,10000,7233.6, Петра Калнишевського вулиця,Petra Kalnyshevskoho St
5,15238281.0,плата згідно з лічильниками і за опалення,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Подільський, ст.м. Нивки, Правди проспект, буд. 31А",Подільський,Нивки," Правди проспект, буд. 31А",1.0,11.0,22.0,14.0,18.0,47.0,False,False,False,False,від посередника,,панель,False,9800,7422.0, Правди проспект,Pravdy Ave
6,15152852.0,плата згідно з лічильниками і за опалення,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Соломенський, ст.м. Вокзальна, братьев Зеровых, буд. 14б",Соломенський,Вокзальна," братьев Зеровых, буд. 14б",3.0,10.0,15.0,15.0,48.0,105.0,False,False,False,False,від посередника,,цегла,False,16000,5537.6, братьев Зеровых,Brativ Zerovykh St
7,15087698.0,,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Шевченківський, Толстого Льва ул., 91",Шевченківський,," Толстого Льва ул., 91",2.0,2.0,4.0,15.0,42.0,80.0,False,False,False,False,від посередника,,панель,False,56657,2643.2000000000007, Толстого Льва ул.,Ulitsa L'va Tolstogo
8,15237456.0,плата згідно з лічильниками і за опалення,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, ст.м. Печерська, Лесі Українки бульвар, буд. 11",Печерський,Печерська," Лесі Українки бульвар, буд. 11",2.0,2.0,9.0,8.0,40.0,60.0,False,False,False,False,від представника господаря (без комісійних),,цегла,False,15000,2281.0, Лесі Українки бульвар,Lesi Ukrainky Blvd
9,15236043.0,плата згідно з лічильниками і за опалення,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Соломенський, ст.м. Вокзальна, Курська вулиця, буд. 20",Соломенський,Вокзальна," Курська вулиця, буд. 20",2.0,1.0,9.0,8.0,30.0,47.0,False,False,False,False,від посередника,,панель,False,8500,4731.0, Курська вулиця,Kurska St
10,15096043.0,,"Довгострокова оренда квартири, 5 кім., Київ, р‑н. Шевченківський, Парково-Сырецкая ул., 4 quotВquot",Шевченківський,," Парково-Сырецкая ул., 4 quotВquot",5.0,12.0,24.0,15.0,98.0,152.0,False,False,False,False,від посередника,,панель,False,39660,3965.4, Парково-Сырецкая ул.,Parkovo-Syretska St
11,15235104.0,плата згідно з лічильниками і за опалення,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Голосіївський, Ломоносова вулиця, буд. 46/1",Голосіївський,," Ломоносова вулиця, буд. 46/1",1.0,15.0,16.0,14.0,20.0,45.0,False,False,False,False,від посередника,,монолитно-кирпичный,False,11000,6427.6, Ломоносова вулиця,
12,15095477.0,,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Дарницький, Регенераторная ул., 4",Дарницький,," Регенераторная ул., 4",2.0,4.0,9.0,20.0,27.0,63.0,False,False,False,False,від посередника,,панель,False,21246,5956.8, Регенераторная ул.,Reheneratorna St
13,15235849.0,,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Подільський, Замковецкая ул., 94",Подільський,," Замковецкая ул., 94",1.0,3.0,5.0,16.0,30.0,50.0,False,False,False,False,від посередника,,панель,False,13500,7565.2, Замковецкая ул.,Zamkovetska St
14,15235860.0,плата згідно з лічильниками і за опалення,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, ст.м. Дружби народів, Професора Підвисоцького вулиця, буд. 12",Печерський,Дружби народів," Професора Підвисоцького вулиця, буд. 12",2.0,2.0,5.0,8.0,33.0,50.0,False,False,False,False,від посередника,,цегла,False,11000,2749.8, Професора Підвисоцького вулиця,Profesora Pidvysots'koho St
15,15235865.0,плата згідно з лічильниками,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Дарницький, ст.м. Позняки, Драгоманова вулиця",Дарницький,Позняки, Драгоманова вулиця,3.0,11.0,20.0,11.0,55.0,75.0,False,False,False,False,від посередника,,монолитно-кирпичный,False,6000,6356.2, Драгоманова вулиця,Mykhaila Drahomanova St
16,15235923.0,немає,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Шевченківський, ст.м. Лук'янівська, Дегтярівська вулиця, буд. 6",Шевченківський,Лук'янівська," Дегтярівська вулиця, буд. 6",2.0,6.0,9.0,8.0,32.0,55.0,False,False,False,False,від посередника,,цегла,False,9000,1780.4, Дегтярівська вулиця,Dehtiarivska St
17,15235882.0,плата згідно з лічильниками і за опалення,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Голосіївський, ст.м. Іподром, Академіка Вільямса вулиця, буд. 19\14",Голосіївський,Іподром," Академіка Вільямса вулиця, буд. 19\14",1.0,11.0,19.0,12.0,20.0,50.0,False,False,False,False,від посередника,,цегла,False,16500,6386.0, Академіка Вільямса вулиця,Akademika Vil'yamsa St
