,Rooms,Floor,TotalFloor,KitchenArea,LivingArea,TotalArea,WaterHeatType,Price,LocNum,OfferType_від власника,OfferType_від посередника,OfferType_від представника господаря (без комісійних),Walls_блочно-кирпичный,Walls_газоблок,Walls_железобетон,Walls_керамзитобетон,Walls_монолитно-каркасный,Walls_монолитно-кирпичный,Walls_монолитный железобетон,Walls_моноліт,Walls_монолітно-блоковий,Walls_панель,Walls_піноблок,Walls_силікатна цегла,Walls_цегла
0,1.0,20.0,24.0,25.0,17.0,63.0,False,9.798182590890704,7105.800000000001,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.0,7.0,10.0,18.0,55.0,73.0,False,10.308985993422082,1962.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1.0,20.0,27.0,11.4,17.4,44.0,True,9.210440366976517,7233.6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,1.0,11.0,22.0,14.0,18.0,47.0,False,9.19023970026918,7422.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,3.0,10.0,15.0,15.0,48.0,105.0,False,9.680406499268875,5537.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2.0,2.0,9.0,8.0,40.0,60.0,False,9.61587214452889,2281.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2.0,1.0,9.0,8.0,30.0,47.0,False,9.04793908261736,4731.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,1.0,15.0,16.0,14.0,20.0,45.0,False,9.305741456739435,6427.6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2.0,4.0,9.0,20.0,27.0,63.0,False,9.963970987915639,5956.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,1.0,3.0,5.0,16.0,30.0,50.0,False,9.510519035757246,7565.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,2.0,2.0,5.0,8.0,33.0,50.0,False,9.305741456739435,2749.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,3.0,11.0,20.0,11.0,55.0,75.0,False,8.699681400989514,6356.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2.0,6.0,9.0,8.0,32.0,55.0,False,9.105090961257085,1780.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,1.0,11.0,19.0,12.0,20.0,50.0,False,9.711176264112805,6386.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,2.0,10.0,16.0,8.0,32.0,57.0,True,9.210440366976517,5912.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,3.0,6.0,25.0,15.0,55.0,106.0,False,9.741027444837728,6465.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,2.0,5.0,6.0,15.0,40.0,56.0,False,10.3469546827773,1463.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,2.0,5.0,9.0,8.0,32.0,54.0,False,8.987321812850125,2611.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,1.0,5.0,6.0,10.0,17.0,45.0,False,9.105090961257085,12595.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,2.0,6.0,9.0,8.0,32.0,52.0,False,9.392745258631441,1952.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,1.0,22.0,22.0,10.0,20.0,41.0,False,9.392745258631441,4943.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,2.0,11.0,36.0,20.0,35.0,86.0,True,10.085850775128717,6044.400000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,1.0,7.0,10.0,10.0,28.0,45.0,False,8.612685172875459,6481.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1.0,9.0,16.0,10.0,188.0,41.0,False,8.987321812850125,9153.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,2.0,5.0,13.0,10.0,36.0,65.0,False,9.741027444837728,3233.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
25,3.0,8.0,9.0,11.0,48.0,79.0,False,9.852246888342531,1904.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
26,3.0,3.0,10.0,15.0,42.0,70.0,False,9.741027444837728,4260.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
27,3.0,2.0,20.0,11.0,56.0,104.0,False,9.392745258631441,6596.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,2.0,3.0,5.0,8.0,33.0,52.0,False,9.45727857185611,2767.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,2.0,9.0,9.0,7.0,26.0,45.0,False,9.04793908261736,7603.400000000002,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,2.0,4.0,9.0,14.0,31.0,52.0,False,9.61587214452889,2045.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
