AdPrice,Adress,Center,District,Floor,Hospital,ID,Kindergarten,KitchenArea,LivingArea,Metro,OfferType,Price,Rate,Rooms,School,Street,TotalArea,TotalFloor,Walls,WaterHeatType
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Голосіївський, ст.м. Олімпійська, Саксаганського вулиця, буд. 54",True,nan,3,True,15114351,True,nan,nan,nan,від посередника  ,15 999,nan,1,True,nan,40 м² ,16,панель  ,True
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, Панаса Мирного вулиця, буд. 28а",False,nan,22,False,15084640,False,18 м² ,50 м² ,nan,від посередника  ,43 909,nan,2,False,nan,100 м² ,26,цегла  ,True
немає  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, ст.м. Дружби народів, Драгомирова вулиця",False,nan,7,False,15175039,False,14 м² ,nan,nan,від представника господаря (без комісійних)  ,25 496,nan,2,False,nan,50 м² ,22,цегла  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Печерський, ст.м. Палац ""Україна"", Анрі Барбюса вулиця, буд. 37/1",True,nan,5,True,15022181,True,25 м² ,90 м² ,nan,від представника господаря (без комісійних)  ,53 824,nan,3,True,nan,130 м² ,24,цегла  ,True
nan,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Святошинський, Ирпенская ул., 69 quotАquot",False,nan,20,False,15167987,False,25 м² ,17 м² ,nan,від посередника  ,18 000,nan,1,False,nan,63 м² ,24,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, ст.м. Арсенальна, Аїстова вулиця, буд. 5",True,nan,7,False,14122352,True,18 м² ,55 м² ,nan,від власника  ,30 000,nan,2,True,nan,73 м² ,10,цегла  ,False
плата згідно з лічильниками  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Оболонський, ст.м. Мінська, Петра Калнишевського вулиця, буд. 14",True,nan,20,True,15115386,True,11.4 м² ,17.4 м² ,nan,від посередника  ,10 000,nan,1,True,nan,44 м² ,27,монолитно-кирпичный  ,True
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Печерський, ст.м. Дружби народів,  Кахи Бендукідзе вулиця, буд. 2",True,nan,19,False,15082724,True,nan,nan,nan,від посередника  ,36 799,nan,1,True,nan,47 м² ,24,цегла  ,True
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, Грушевского Михаила ул., 341",False,nan,7,False,15228017,False,nan,nan,nan,від посередника  ,24 079,nan,2,False,nan,55 м² ,8,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Подільський, ст.м. Нивки, Правди проспект, буд. 31А",False,nan,11,False,15238281,False,14 м² ,18 м² ,nan,від посередника  ,9 800,nan,1,False,nan,47 м² ,22,панель  ,False
плата згідно з лічильниками  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Дарницький, ст.м. Осокорки, Дніпровська набережна, буд. 14",False,nan,15,False,15113674,False,nan,nan,nan,від посередника  ,22 000,nan,1,False,nan,60 м² ,15,цегла  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Соломенський, ст.м. Вокзальна, братьев Зеровых, буд. 14б",False,nan,10,False,15152852,False,15 м² ,48 м² ,nan,від посередника  ,16 000,nan,3,False,nan,105 м² ,15,цегла  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Шевченківський, Толстого Льва ул., 91",False,nan,2,False,15087698,False,15 м² ,42 м² ,nan,від посередника  ,56 657,nan,2,False,nan,80 м² ,4,панель  ,False
nan,"Довгострокова оренда квартири, 4 кім., Київ, р‑н. Соломенський, Липковского Василия Митрополита ул., 16 quotГquot",False,nan,19,False,15097877,False,nan,nan,nan,від посередника  ,33 994,nan,4,False,nan,100 м² ,25,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Голосіївський, ст.м. Університет, Саксаганського вулиця",False,nan,12,False,15175059,False,nan,nan,nan,від посередника  ,18 000,nan,1,False,nan,45 м² ,20,цегла  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Дарницький, Харьковское шоссе, 15 quotАquot",False,nan,11,False,15097873,False,nan,nan,nan,від посередника  ,14 000,nan,2,False,nan,66 м² ,17,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, ст.м. Печерська, Лесі Українки бульвар, буд. 11",False,nan,2,False,15237456,False,8 м² ,40 м² ,nan,від представника господаря (без комісійних)  ,15 000,nan,2,False,nan,60 м² ,9,цегла  ,False
немає  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, Івана Кудрі вулиця, буд. 7",False,nan,15,False,15236094,False,nan,nan,nan,від посередника  ,26 912,nan,2,False,nan,55 м² ,24,цегла  ,False
немає  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, Лесі Українки бульвар, буд. 7б",False,nan,10,False,15236104,False,nan,nan,nan,від посередника  ,31 161,nan,2,False,nan,70 м² ,16,цегла  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Соломенський, ст.м. Вокзальна, Курська вулиця, буд. 20",False,nan,1,False,15236043,False,8 м² ,30 м² ,nan,від посередника  ,8 500,nan,2,False,nan,47 м² ,9,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Соломенський, ст.м. Шулявська, Авіоконструктора Антонова вулиця, буд. 47",False,nan,3,False,15236197,False,nan,nan,nan,від посередника  ,7 500,nan,2,False,nan,46 м² ,5,цегла  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Шевченківський, Сечевых Стрельцов ул., 74",False,nan,5,False,15096027,False,nan,32 м² ,nan,від посередника  ,19 830,nan,2,False,nan,73 м² ,5,панель  ,False
nan,"Довгострокова оренда квартири, 5 кім., Київ, р‑н. Шевченківський, Парково-Сырецкая ул., 4 quotВquot",False,nan,12,False,15096043,False,15 м² ,98 м² ,nan,від посередника  ,39 660,nan,5,False,nan,152 м² ,24,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Голосіївський, Ломоносова вулиця, буд. 46/1",False,nan,15,False,15235104,False,14 м² ,20 м² ,nan,від посередника  ,11 000,nan,1,False,nan,45 м² ,16,монолитно-кирпичный  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Святошинський, ст.м. Святошин, Генерала Потапова вулиця, буд. 4",False,nan,6,False,15235818,False,nan,nan,nan,від посередника  ,6 000,nan,1,False,nan,35 м² ,9,цегла  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Дарницький, Регенераторная ул., 4",False,nan,4,False,15095477,False,20 м² ,27 м² ,nan,від посередника  ,21 246,nan,2,False,nan,63 м² ,9,панель  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Соломенський, Образования ул., 8 quotАquot",False,nan,16,False,15235850,False,nan,nan,nan,від посередника  ,19 718,nan,2,False,nan,65 м² ,25,панель  ,False
